 v-sweep         i(VloutI)       i(VldumpI)      v(Vin)          v(Vgate)        v(d0)           i(vini)         i(vgatei)       v(vloutv)       v(vldumpv)      i(vout)         i(vdump)       
 6.10000000e-01  4.01595654e-11  3.96326124e-11  1.12968074e-01  5.84929100e-01  4.42490806e-10  8.66089422e-11  3.98535371e-12  1.12729864e-01  1.12391899e-01  5.42854650e-11  5.38147304e-11 
 6.11000000e-01  4.14047463e-11  4.08594924e-11  1.14025350e-01  5.85978098e-01  4.43331999e-10  8.91544616e-11  3.99259618e-12  1.13778585e-01  1.13428296e-01  5.54525315e-11  5.49267298e-11 
 6.12000000e-01  4.26977161e-11  4.21234221e-11  1.15083000e-01  5.87022029e-01  4.44173740e-10  9.17781406e-11  4.01463585e-12  1.14827325e-01  1.14464326e-01  5.66195979e-11  5.60600455e-11 
 6.13000000e-01  4.40433332e-11  4.34181613e-11  1.16142312e-01  5.88061963e-01  4.45016036e-10  9.44710976e-11  4.04131416e-12  1.15877393e-01  1.15501257e-01  5.79092330e-11  5.72768499e-11 
 6.14000000e-01  4.54124815e-11  4.47551922e-11  1.17189595e-01  5.89116075e-01  4.45858958e-10  9.72466552e-11  4.03303432e-12  1.16915266e-01  1.16525680e-01  5.91189320e-11  5.85007598e-11 
 6.15000000e-01  4.68458007e-11  4.61244463e-11  1.18246738e-01  5.90153208e-01  4.46702430e-10  1.00095932e-10  4.04248683e-12  1.17962505e-01  1.17558927e-01  6.04991612e-11  5.97655259e-11 
 6.16000000e-01  4.82846426e-11  4.75274875e-11  1.19272838e-01  5.91191816e-01  4.47546473e-10  1.03019815e-10  4.05732566e-12  1.18978646e-01  1.18560827e-01  6.18136653e-11  6.10516082e-11 
 6.17000000e-01  4.97931860e-11  4.89856341e-11  1.20316886e-01  5.92231193e-01  4.48391125e-10  1.06035181e-10  4.06985036e-12  1.20012216e-01  1.19579504e-01  6.32027763e-11  6.24051921e-11 
 6.18000000e-01  5.13402492e-11  5.04833381e-11  1.21358022e-01  5.93268735e-01  4.49236337e-10  1.09132259e-10  4.07463646e-12  1.21042537e-01  1.20594454e-01  6.46789289e-11  6.38298303e-11 
 6.19000000e-01  5.29388170e-11  5.20098115e-11  1.22390438e-01  5.94303949e-01  4.50082122e-10  1.12319043e-10  4.09720521e-12  1.22063818e-01  1.21599983e-01  6.61533051e-11  6.52722321e-11 
 6.20000000e-01  5.45829736e-11  5.35739392e-11  1.23416829e-01  5.95340004e-01  4.50928462e-10  1.15593757e-10  4.09105388e-12  1.23078767e-01  1.22598879e-01  6.77200518e-11  6.67039757e-11 
 6.21000000e-01  5.62635747e-11  5.51953315e-11  1.24434845e-01  5.96372708e-01  4.51775377e-10  1.18957288e-10  4.09968066e-12  1.24085024e-01  1.23588385e-01  6.92672586e-11  6.82369716e-11 
